Customer_ID,Churn_Probability,Predicted_LTV,Composite_Risk_Score,Segment
CUST05075,0.9931,109.65,0.9926,Losing Customer
CUST08844,0.9979,114.09,0.9812,Losing Customer
CUST03429,0.9801,0.0,0.9763,Losing Customer
CUST08282,0.9813,34.42,0.9757,Losing Customer
CUST07900,0.9849,76.27,0.9734,Losing Customer
CUST03726,0.9798,0.0,0.973,Losing Customer
CUST01640,0.9947,66.51,0.9723,Losing Customer
CUST09984,0.9962,141.6,0.972,Losing Customer
CUST09761,0.9844,119.67,0.9718,Losing Customer
CUST09466,0.9979,100.39,0.9709,Losing Customer
CUST00530,0.9816,117.37,0.9707,Losing Customer
CUST09568,0.9695,37.81,0.9687,Losing Customer
CUST08509,0.9943,141.34,0.9658,Losing Customer
CUST02166,0.9949,77.73,0.9647,Losing Customer
CUST04678,0.9962,95.86,0.9639,Losing Customer
CUST03642,0.9971,30.19,0.9636,Losing Customer
CUST03494,0.9903,85.14,0.9635,Losing Customer
CUST07296,0.9722,116.36,0.9627,Losing Customer
CUST09071,0.9634,100.01,0.9606,Losing Customer
CUST09282,0.9899,105.58,0.9585,Losing Customer
CUST05744,0.9782,52.75,0.9574,Losing Customer
CUST09225,0.9894,56.2,0.9542,Losing Customer
CUST06560,0.9815,90.95,0.954,Losing Customer
CUST04523,0.9682,38.81,0.9526,Losing Customer
CUST02244,0.9666,148.63,0.9517,Losing Customer
CUST02964,0.9895,90.06,0.9516,Losing Customer
CUST00844,0.9654,60.7,0.9509,Losing Customer
CUST02013,0.9764,83.65,0.9508,Losing Customer
CUST03914,0.9841,106.12,0.9499,Losing Customer
CUST07436,0.9884,89.01,0.9491,Losing Customer
CUST07116,0.9823,69.53,0.948,Losing Customer
CUST03886,0.978,112.17,0.9476,Losing Customer
CUST01828,0.9776,0.0,0.9475,Losing Customer
CUST07248,0.9743,97.13,0.9473,Losing Customer
CUST01955,0.9787,128.1,0.9466,Losing Customer
CUST05407,0.9603,84.73,0.9465,Losing Customer
CUST08775,0.9934,87.3,0.9464,Losing Customer
CUST02675,0.9873,110.54,0.9455,Losing Customer
CUST04262,0.9815,0.02,0.9454,Losing Customer
CUST09099,0.9842,31.1,0.9451,Losing Customer
CUST01013,0.9912,54.29,0.944,Losing Customer
CUST06744,0.9807,56.21,0.9436,Losing Customer
CUST05897,0.9827,0.0,0.9435,Losing Customer
CUST08319,0.9768,80.23,0.9431,Losing Customer
CUST06194,0.9927,148.9,0.9419,Losing Customer
CUST02647,0.9855,0.0,0.9418,Losing Customer
